run_at,n_oos,winrate,phi10,z10,phi15,z15,runsZ,ac1,buckets10
2026-08-17 00:00:02,13683,0.5027,0.927,-0.7,0.923,-1.14,0.54,-0.0047,185
2026-08-17 06:00:02,13724,0.5031,0.927,-0.7,0.921,-1.17,0.62,-0.0054,185
2026-08-17 12:00:01,13768,0.5033,0.927,-0.7,0.917,-1.23,0.76,-0.0065,185
2026-08-17 18:00:01,13810,0.5036,0.927,-0.7,0.919,-1.21,0.79,-0.0068,185
2026-08-18 00:00:01,13854,0.5035,0.927,-0.7,0.919,-1.21,0.86,-0.0073,185
2026-08-18 06:00:01,13891,0.5038,0.927,-0.7,0.917,-1.23,0.88,-0.0075,185
2026-08-18 12:00:02,13933,0.5039,0.923,-0.74,0.916,-1.26,0.9,-0.0077,186
2026-08-18 18:00:02,13986,0.5039,0.928,-0.69,0.916,-1.26,0.94,-0.008,187
2026-08-19 00:00:02,14032,0.504,0.928,-0.69,0.915,-1.27,0.94,-0.008,187
2026-08-19 06:00:02,14066,0.5041,0.928,-0.69,0.915,-1.27,1.1,-0.0094,187
2026-08-19 12:00:02,14115,0.5039,0.924,-0.73,0.912,-1.32,1.08,-0.0091,188
2026-08-19 18:00:01,14151,0.5039,0.924,-0.73,0.912,-1.32,1.09,-0.0092,188
2026-08-20 00:00:01,14189,0.5039,0.924,-0.73,0.91,-1.35,1.09,-0.0092,188
2026-08-20 06:00:01,14235,0.504,0.924,-0.73,0.909,-1.37,1.09,-0.0092,188
2026-08-20 12:00:01,14264,0.5039,0.924,-0.73,0.909,-1.37,1.15,-0.0097,188
2026-08-20 18:00:01,14315,0.5042,0.951,-0.48,0.918,-1.24,1.19,-0.01,189
2026-08-21 00:00:02,14351,0.5046,0.951,-0.47,0.916,-1.27,1.19,-0.01,189
2026-08-21 06:00:02,14392,0.5046,0.947,-0.52,0.914,-1.3,1.13,-0.0095,190
2026-08-21 12:00:01,14449,0.5046,0.943,-0.55,0.913,-1.32,1.22,-0.0102,191
2026-08-21 18:00:02,14511,0.5046,0.938,-0.6,0.918,-1.25,1.05,-0.0088,192
2026-08-22 00:00:02,14555,0.5046,0.934,-0.64,0.918,-1.25,1.05,-0.0087,193
2026-08-22 06:00:02,14591,0.5048,0.934,-0.64,0.916,-1.28,1.06,-0.0089,193
2026-08-22 12:00:02,14636,0.5046,0.934,-0.64,0.916,-1.28,1.09,-0.009,193
