date,system,pattern,wins,losses,n,win_rate
2026-06-19,v4,bline|telecho|B,1067,1020,2087,51.13
2026-06-19,v4,niconico|dragon|B,381,384,765,49.80
2026-06-19,v4,sansan|telecho|P,96,68,164,58.54
2026-06-19,v4,telecho|niconico|B,304,318,622,48.87
2026-06-19,v4,telecho|niconico|P,276,265,541,51.02
2026-06-19,v4,telecho|telecho|B,634,567,1201,52.79
2026-06-20,v3,niconico|dragon|P,885,912,1797,49.25
2026-06-20,v3,niconico|niconico|B,279,252,531,52.54
2026-06-20,v3,sansan|telecho|P,196,160,356,55.06
2026-06-20,v3,telecho|niconico|P,670,709,1379,48.59
2026-06-20,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-20,v3,telecho|telecho|B,1538,1408,2946,52.21
2026-06-20,v4,bline|telecho|B,1157,1124,2281,50.72
2026-06-20,v4,niconico|dragon|B,415,424,839,49.46
2026-06-20,v4,sansan|telecho|P,108,75,183,59.02
2026-06-20,v4,telecho|niconico|B,325,346,671,48.44
2026-06-20,v4,telecho|niconico|P,276,265,541,51.02
2026-06-20,v4,telecho|telecho|B,681,635,1316,51.75
2026-06-21,v3,niconico|dragon|P,926,945,1871,49.49
2026-06-21,v3,niconico|niconico|B,284,258,542,52.40
2026-06-21,v3,sansan|telecho|P,204,168,372,54.84
2026-06-21,v3,telecho|niconico|P,670,709,1379,48.59
2026-06-21,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-21,v3,telecho|telecho|B,1601,1481,3082,51.95
2026-06-21,v4,bline|telecho|B,1243,1217,2460,50.53
2026-06-21,v4,niconico|dragon|B,455,468,923,49.30
2026-06-21,v4,sansan|telecho|P,116,83,199,58.29
2026-06-21,v4,telecho|niconico|B,357,373,730,48.90
2026-06-21,v4,telecho|niconico|P,276,265,541,51.02
2026-06-21,v4,telecho|telecho|B,744,707,1451,51.27
2026-06-22,v3,niconico|dragon|P,957,982,1939,49.36
2026-06-22,v3,niconico|niconico|B,294,264,558,52.69
2026-06-22,v3,sansan|telecho|P,215,177,392,54.85
2026-06-22,v3,telecho|niconico|P,670,709,1379,48.59
2026-06-22,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-22,v3,telecho|telecho|B,1653,1525,3178,52.01
2026-06-22,v4,bline|telecho|B,1328,1318,2646,50.19
2026-06-22,v4,niconico|dragon|B,487,510,997,48.85
2026-06-22,v4,sansan|telecho|P,127,91,218,58.26
2026-06-22,v4,telecho|niconico|B,391,395,786,49.75
2026-06-22,v4,telecho|niconico|P,276,265,541,51.02
2026-06-22,v4,telecho|telecho|B,797,751,1548,51.49
2026-06-23,v3,niconico|dragon|P,989,1021,2010,49.20
2026-06-23,v3,niconico|niconico|B,300,276,576,52.08
2026-06-23,v3,sansan|telecho|P,224,183,407,55.04
2026-06-23,v3,telecho|niconico|P,670,709,1379,48.59
2026-06-23,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-23,v3,telecho|telecho|B,1707,1571,3278,52.07
2026-06-23,v4,bline|telecho|B,1412,1415,2827,49.95
2026-06-23,v4,niconico|dragon|B,525,547,1072,48.97
2026-06-23,v4,sansan|telecho|P,136,97,233,58.37
2026-06-23,v4,telecho|niconico|B,415,418,833,49.82
2026-06-23,v4,telecho|niconico|P,276,265,541,51.02
2026-06-23,v4,telecho|telecho|B,851,797,1648,51.64
2026-06-24,v3,niconico|dragon|P,989,1026,2015,49.08
2026-06-24,v3,niconico|niconico|B,300,276,576,52.08
2026-06-24,v3,sansan|telecho|P,232,190,422,54.98
2026-06-24,v3,telecho|niconico|P,670,709,1379,48.59
2026-06-24,v3,telecho|nikoichi|P,57,47,104,54.81
2026-06-24,v3,telecho|telecho|B,1759,1627,3386,51.95
2026-06-24,v4,bline|telecho|B,104,93,197,52.79
2026-06-24,v4,niconico|dragon|B,39,40,79,49.37
2026-06-24,v4,sansan|telecho|P,8,7,15,53.33
2026-06-24,v4,telecho|telecho|B,52,56,108,48.15
2026-06-25,v3,niconico|dragon|P,989,1026,2015,49.08
2026-06-25,v3,niconico|niconico|B,300,276,576,52.08
